Net generation from natural gas for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.NG.H
16:52:15 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.NG.H megawatthours
04/6/2022 10H,117011
04/6/2022 09H,110454
04/6/2022 08H,109008
04/6/2022 07H,108073
04/6/2022 06H,114275
04/6/2022 05H,123280
04/6/2022 04H,141089
04/6/2022 03H,151263
04/6/2022 02H,165200
04/6/2022 01H,166106
04/6/2022 00H,165297
04/5/2022 23H,163710
04/5/2022 22H,162023
04/5/2022 21H,157573
04/5/2022 20H,152043
04/5/2022 19H,149305
04/5/2022 18H,145741
04/5/2022 17H,141226
04/5/2022 16H,137913
04/5/2022 15H,140697
04/5/2022 14H,142742
04/5/2022 13H,146602
04/5/2022 12H,146234
04/5/2022 11H,138239
04/5/2022 10H,126695
04/5/2022 09H,119743
04/5/2022 08H,120962
04/5/2022 07H,123668
04/5/2022 06H,128585
04/5/2022 05H,137151
04/5/2022 04H,146605
04/5/2022 03H,162555
04/5/2022 02H,173032
04/5/2022 01H,172428
04/5/2022 00H,165849
04/4/2022 23H,161873
04/4/2022 22H,154610
04/4/2022 21H,148236
04/4/2022 20H,142591
04/4/2022 19H,140829
04/4/2022 18H,137909
04/4/2022 17H,137715
04/4/2022 16H,138050
04/4/2022 15H,143242
04/4/2022 14H,150117
04/4/2022 13H,150228
04/4/2022 12H,148096
04/4/2022 11H,136973
04/4/2022 10H,120303
04/4/2022 09H,108779
04/4/2022 08H,106132
04/4/2022 07H,106473
04/4/2022 06H,108626
04/4/2022 05H,113707
04/4/2022 04H,119678
04/4/2022 03H,133518
04/4/2022 02H,143979
04/4/2022 01H,143821
04/4/2022 00H,140031
04/3/2022 23H,131902
04/3/2022 22H,125145
04/3/2022 21H,117412
04/3/2022 20H,112678
04/3/2022 19H,109388
04/3/2022 18H,107660
04/3/2022 17H,104945
04/3/2022 16H,105148
04/3/2022 15H,109474
04/3/2022 14H,110280
04/3/2022 13H,111187
04/3/2022 12H,109367
04/3/2022 11H,105894
04/3/2022 10H,102436
04/3/2022 09H,103897
04/3/2022 08H,104085
04/3/2022 07H,104480
04/3/2022 06H,106641
04/3/2022 05H,113352
04/3/2022 04H,128302
04/3/2022 03H,136236
04/3/2022 02H,143891
04/3/2022 01H,143851
04/3/2022 00H,137165
04/2/2022 23H,131913
04/2/2022 22H,129108
04/2/2022 21H,125127
04/2/2022 20H,123966
04/2/2022 19H,123180
04/2/2022 18H,124353
04/2/2022 17H,126864
04/2/2022 16H,129215
04/2/2022 15H,132752
04/2/2022 14H,137141
04/2/2022 13H,138419
04/2/2022 12H,137613
04/2/2022 11H,131947
04/2/2022 10H,127329
04/2/2022 09H,124638
04/2/2022 08H,123013
04/2/2022 07H,124064
04/2/2022 06H,127686
04/2/2022 05H,130453
04/2/2022 04H,134090
04/2/2022 03H,147771
04/2/2022 02H,154770
04/2/2022 01H,150359
04/2/2022 00H,143560
04/1/2022 23H,136123
04/1/2022 22H,131692
04/1/2022 21H,127888
04/1/2022 20H,128033
04/1/2022 19H,127024
04/1/2022 18H,128369
04/1/2022 17H,130304
04/1/2022 16H,132006
04/1/2022 15H,140329
04/1/2022 14H,145678
04/1/2022 13H,148459
04/1/2022 12H,146119
04/1/2022 11H,135598
04/1/2022 10H,121753
04/1/2022 09H,114310
04/1/2022 08H,111316
04/1/2022 07H,114218
04/1/2022 06H,121109
04/1/2022 05H,131941
04/1/2022 04H,146393
04/1/2022 03H,165696
04/1/2022 02H,177750
04/1/2022 01H,176556
04/1/2022 00H,167789
03/31/2022 23H,161151
03/31/2022 22H,158516
03/31/2022 21H,153730
03/31/2022 20H,149517
03/31/2022 19H,146341
03/31/2022 18H,144247
03/31/2022 17H,143319
03/31/2022 16H,144888
03/31/2022 15H,149463
03/31/2022 14H,154227
03/31/2022 13H,151791
03/31/2022 12H,143141
03/31/2022 11H,129905
03/31/2022 10H,115690
03/31/2022 09H,110524
03/31/2022 08H,110026
03/31/2022 07H,113303
03/31/2022 06H,116752
03/31/2022 05H,126885
03/31/2022 04H,145726
03/31/2022 03H,152475
03/31/2022 02H,162690
03/31/2022 01H,164688
03/31/2022 00H,156300
03/30/2022 23H,148341
03/30/2022 22H,142107
03/30/2022 21H,136401
03/30/2022 20H,129855
03/30/2022 19H,126599
03/30/2022 18H,126042
03/30/2022 17H,124956
03/30/2022 16H,126185
03/30/2022 15H,132435
03/30/2022 14H,137462
03/30/2022 13H,140406
03/30/2022 12H,139464
03/30/2022 11H,130535
03/30/2022 10H,116750
03/30/2022 09H,109493
03/30/2022 08H,108905
03/30/2022 07H,112401
03/30/2022 06H,115745
03/30/2022 05H,120361
03/30/2022 04H,135423
03/30/2022 03H,143070
03/30/2022 02H,151744
03/30/2022 01H,154110
03/30/2022 00H,152003
03/29/2022 23H,145167
03/29/2022 22H,138651
03/29/2022 21H,132795
03/29/2022 20H,130342
03/29/2022 19H,129247
03/29/2022 18H,128610
03/29/2022 17H,128490
03/29/2022 16H,129896
03/29/2022 15H,137062
03/29/2022 14H,141370
03/29/2022 13H,147083
03/29/2022 12H,148914
03/29/2022 11H,144927
03/29/2022 10H,132145
03/29/2022 09H,126030
03/29/2022 08H,124199
03/29/2022 07H,125130
03/29/2022 06H,127615
03/29/2022 05H,132533
03/29/2022 04H,141453
03/29/2022 03H,153581
03/29/2022 02H,165840
03/29/2022 01H,170672
03/29/2022 00H,167486
03/28/2022 23H,158130
03/28/2022 22H,152463
03/28/2022 21H,147190
03/28/2022 20H,144874
03/28/2022 19H,146939
03/28/2022 18H,145253
03/28/2022 17H,144810
03/28/2022 16H,145505
03/28/2022 15H,145312
03/28/2022 14H,150440
03/28/2022 13H,158954
03/28/2022 12H,159240
03/28/2022 11H,149982
03/28/2022 10H,135548
03/28/2022 09H,127142
03/28/2022 08H,124229
03/28/2022 07H,124141
03/28/2022 06H,127236
03/28/2022 05H,130903
03/28/2022 04H,132576
03/28/2022 03H,148915
03/28/2022 02H,158556
03/28/2022 01H,158717
03/28/2022 00H,150170
03/27/2022 23H,139109
03/27/2022 22H,130166
03/27/2022 21H,119888
03/27/2022 20H,114312
03/27/2022 19H,111892
03/27/2022 18H,109622
03/27/2022 17H,109451
03/27/2022 16H,111916
03/27/2022 15H,116007
03/27/2022 14H,118813
03/27/2022 13H,120537
03/27/2022 12H,119512
03/27/2022 11H,115020
03/27/2022 10H,109750
03/27/2022 09H,109256
03/27/2022 08H,110916
03/27/2022 07H,113014
03/27/2022 06H,115866
03/27/2022 05H,119977
03/27/2022 04H,127108
03/27/2022 03H,142744
03/27/2022 02H,151462
03/27/2022 01H,150941
03/27/2022 00H,142784
03/26/2022 23H,133166
03/26/2022 22H,125773
03/26/2022 21H,118637
03/26/2022 20H,114244
03/26/2022 19H,110060
03/26/2022 18H,109933
03/26/2022 17H,108797
03/26/2022 16H,113328
03/26/2022 15H,120886
03/26/2022 14H,125208
03/26/2022 13H,126987
03/26/2022 12H,123130
03/26/2022 11H,116218
03/26/2022 10H,112091
03/26/2022 09H,107577
03/26/2022 08H,107072
03/26/2022 07H,107333
03/26/2022 06H,109883
03/26/2022 05H,116815
03/26/2022 04H,129017
03/26/2022 03H,137319
03/26/2022 02H,149235
03/26/2022 01H,153305
03/26/2022 00H,144630
03/25/2022 23H,137295
03/25/2022 22H,133706
03/25/2022 21H,130985
03/25/2022 20H,128943
03/25/2022 19H,129161
03/25/2022 18H,128342
03/25/2022 17H,130470
03/25/2022 16H,135967
03/25/2022 15H,143270
03/25/2022 14H,154934
03/25/2022 13H,160830
03/25/2022 12H,157502
03/25/2022 11H,144806
03/25/2022 10H,132001
03/25/2022 09H,124511
03/25/2022 08H,122930
03/25/2022 07H,125631
03/25/2022 06H,131922
03/25/2022 05H,140134
03/25/2022 04H,149596
03/25/2022 03H,164606
03/25/2022 02H,174432
03/25/2022 01H,169892
03/25/2022 00H,156272
03/24/2022 23H,146622
03/24/2022 22H,143788
03/24/2022 21H,139722
03/24/2022 20H,138980
03/24/2022 19H,139216
03/24/2022 18H,141046
03/24/2022 17H,142790
03/24/2022 16H,151873
03/24/2022 15H,158419
03/24/2022 14H,161302
03/24/2022 13H,161474
03/24/2022 12H,154076
03/24/2022 11H,141581
03/24/2022 10H,128621
03/24/2022 09H,121447
03/24/2022 08H,120555
03/24/2022 07H,123470
03/24/2022 06H,128402
03/24/2022 05H,134903
03/24/2022 04H,142790
03/24/2022 03H,153493
