Net generation from hydro for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WAT.H
16:50:53 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WAT.H megawatthours
04/6/2022 10H,28015
04/6/2022 09H,25739
04/6/2022 08H,24966
04/6/2022 07H,26503
04/6/2022 06H,28071
04/6/2022 05H,30490
04/6/2022 04H,33237
04/6/2022 03H,36724
04/6/2022 02H,37892
04/6/2022 01H,38505
04/6/2022 00H,35225
04/5/2022 23H,32220
04/5/2022 22H,30281
04/5/2022 21H,29170
04/5/2022 20H,28363
04/5/2022 19H,28419
04/5/2022 18H,28721
04/5/2022 17H,29948
04/5/2022 16H,31455
04/5/2022 15H,35383
04/5/2022 14H,38577
04/5/2022 13H,38443
04/5/2022 12H,37546
04/5/2022 11H,31622
04/5/2022 10H,27450
04/5/2022 09H,24118
04/5/2022 08H,24107
04/5/2022 07H,25197
04/5/2022 06H,26569
04/5/2022 05H,29278
04/5/2022 04H,32825
04/5/2022 03H,36453
04/5/2022 02H,38497
04/5/2022 01H,40073
04/5/2022 00H,37383
04/4/2022 23H,33575
04/4/2022 22H,30851
04/4/2022 21H,29356
04/4/2022 20H,27354
04/4/2022 19H,28218
04/4/2022 18H,28518
04/4/2022 17H,29698
04/4/2022 16H,32422
04/4/2022 15H,36038
04/4/2022 14H,38090
04/4/2022 13H,38208
04/4/2022 12H,37564
04/4/2022 11H,33423
04/4/2022 10H,29222
04/4/2022 09H,25356
04/4/2022 08H,25018
04/4/2022 07H,26562
04/4/2022 06H,28416
04/4/2022 05H,30903
04/4/2022 04H,34406
04/4/2022 03H,37811
04/4/2022 02H,40276
04/4/2022 01H,38634
04/4/2022 00H,35309
04/3/2022 23H,32135
04/3/2022 22H,28440
04/3/2022 21H,26620
04/3/2022 20H,26095
04/3/2022 19H,25997
04/3/2022 18H,27155
04/3/2022 17H,28554
04/3/2022 16H,29254
04/3/2022 15H,32014
04/3/2022 14H,33756
04/3/2022 13H,32993
04/3/2022 12H,31588
04/3/2022 11H,28809
04/3/2022 10H,27117
04/3/2022 09H,26199
04/3/2022 08H,26582
04/3/2022 07H,28429
04/3/2022 06H,29407
04/3/2022 05H,31477
04/3/2022 04H,33785
04/3/2022 03H,37288
04/3/2022 02H,38820
04/3/2022 01H,36979
04/3/2022 00H,33662
04/2/2022 23H,29467
04/2/2022 22H,27101
04/2/2022 21H,26249
04/2/2022 20H,25179
04/2/2022 19H,25647
04/2/2022 18H,26321
04/2/2022 17H,27356
04/2/2022 16H,29625
04/2/2022 15H,33097
04/2/2022 14H,34415
04/2/2022 13H,34388
04/2/2022 12H,35054
04/2/2022 11H,31158
04/2/2022 10H,27682
04/2/2022 09H,26040
04/2/2022 08H,26269
04/2/2022 07H,27333
04/2/2022 06H,28363
04/2/2022 05H,31964
04/2/2022 04H,34750
04/2/2022 03H,38286
04/2/2022 02H,40714
04/2/2022 01H,40872
04/2/2022 00H,36791
04/1/2022 23H,32997
04/1/2022 22H,30006
04/1/2022 21H,28398
04/1/2022 20H,28644
04/1/2022 19H,29094
04/1/2022 18H,30019
04/1/2022 17H,33643
04/1/2022 16H,37548
04/1/2022 15H,41344
04/1/2022 14H,42902
04/1/2022 13H,43357
04/1/2022 12H,39494
04/1/2022 11H,35534
04/1/2022 10H,30663
04/1/2022 09H,27510
04/1/2022 08H,27632
04/1/2022 07H,28549
04/1/2022 06H,31069
04/1/2022 05H,33544
04/1/2022 04H,35335
04/1/2022 03H,39407
04/1/2022 02H,42244
04/1/2022 01H,42402
04/1/2022 00H,38952
03/31/2022 23H,36365
03/31/2022 22H,34277
03/31/2022 21H,33400
03/31/2022 20H,33244
03/31/2022 19H,32882
03/31/2022 18H,33600
03/31/2022 17H,35284
03/31/2022 16H,36860
03/31/2022 15H,39204
03/31/2022 14H,38964
03/31/2022 13H,35454
03/31/2022 12H,31904
03/31/2022 11H,28469
03/31/2022 10H,26070
03/31/2022 09H,24068
03/31/2022 08H,24837
03/31/2022 07H,26079
03/31/2022 06H,28845
03/31/2022 05H,31836
03/31/2022 04H,34551
03/31/2022 03H,38138
03/31/2022 02H,39347
03/31/2022 01H,39734
03/31/2022 00H,34772
03/30/2022 23H,32798
03/30/2022 22H,31624
03/30/2022 21H,30435
03/30/2022 20H,31202
03/30/2022 19H,31860
03/30/2022 18H,32477
03/30/2022 17H,32586
03/30/2022 16H,35449
03/30/2022 15H,37908
03/30/2022 14H,38938
03/30/2022 13H,38160
03/30/2022 12H,38648
03/30/2022 11H,35107
03/30/2022 10H,32316
03/30/2022 09H,28678
03/30/2022 08H,28551
03/30/2022 07H,27656
03/30/2022 06H,29348
03/30/2022 05H,32600
