Net generation from solar for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.SUN.H
17:17:50 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.SUN.H megawatthours
04/6/2022 03H,300
04/6/2022 02H,1564
04/6/2022 01H,11148
04/6/2022 00H,20179
04/5/2022 23H,23585
04/5/2022 22H,26202
04/5/2022 21H,28358
04/5/2022 20H,29216
04/5/2022 19H,30115
04/5/2022 18H,31666
04/5/2022 17H,32471
04/5/2022 16H,32049
04/5/2022 15H,25400
04/5/2022 14H,12362
04/5/2022 13H,5000
04/5/2022 12H,1541
04/5/2022 11H,145
04/5/2022 10H,37
04/5/2022 09H,35
04/5/2022 08H,28
04/5/2022 07H,64
04/5/2022 06H,84
04/5/2022 05H,143
04/5/2022 04H,213
04/5/2022 03H,281
04/5/2022 02H,1194
04/5/2022 01H,8679
04/5/2022 00H,18965
04/4/2022 23H,25946
04/4/2022 22H,32397
04/4/2022 21H,36294
04/4/2022 20H,38454
04/4/2022 19H,40247
04/4/2022 18H,40109
04/4/2022 17H,39694
04/4/2022 16H,37244
04/4/2022 15H,29719
04/4/2022 14H,14983
04/4/2022 13H,7038
04/4/2022 12H,2218
04/4/2022 11H,226
04/4/2022 10H,12
04/4/2022 09H,9
04/4/2022 08H,1
04/4/2022 07H,52
04/4/2022 06H,71
04/4/2022 05H,126
04/4/2022 04H,182
04/4/2022 03H,257
04/4/2022 02H,1058
04/4/2022 01H,8586
04/4/2022 00H,18544
04/3/2022 23H,26271
04/3/2022 22H,34386
04/3/2022 21H,39141
04/3/2022 20H,42100
04/3/2022 19H,39762
04/3/2022 18H,38289
04/3/2022 17H,36677
04/3/2022 16H,34088
04/3/2022 15H,25767
04/3/2022 14H,14938
04/3/2022 13H,6790
04/3/2022 12H,1770
04/3/2022 11H,149
04/3/2022 10H,5
04/3/2022 09H,3
04/3/2022 08H,21
04/3/2022 07H,72
04/3/2022 06H,89
04/3/2022 05H,164
04/3/2022 04H,248
04/3/2022 03H,265
04/3/2022 02H,1182
04/3/2022 01H,9837
04/3/2022 00H,22248
04/2/2022 23H,28324
04/2/2022 22H,31411
04/2/2022 21H,35503
04/2/2022 20H,39015
04/2/2022 19H,41862
04/2/2022 18H,42171
04/2/2022 17H,42883
04/2/2022 16H,40344
04/2/2022 15H,31590
04/2/2022 14H,15806
04/2/2022 13H,6998
04/2/2022 12H,2355
04/2/2022 11H,215
04/2/2022 10H,7
04/2/2022 09H,9
04/2/2022 08H,19
04/2/2022 07H,81
04/2/2022 06H,111
04/2/2022 05H,146
04/2/2022 04H,214
04/2/2022 03H,245
04/2/2022 02H,1401
04/2/2022 01H,11176
04/2/2022 00H,22643
04/1/2022 23H,29945
04/1/2022 22H,35472
04/1/2022 21H,39615
04/1/2022 20H,39031
04/1/2022 19H,39600
04/1/2022 18H,39206
04/1/2022 17H,39360
04/1/2022 16H,36880
04/1/2022 15H,28748
04/1/2022 14H,14815
04/1/2022 13H,5980
04/1/2022 12H,1413
04/1/2022 11H,115
04/1/2022 10H,14
04/1/2022 09H,10
04/1/2022 08H,1
04/1/2022 07H,35
04/1/2022 06H,130
04/1/2022 05H,173
04/1/2022 04H,245
04/1/2022 03H,212
04/1/2022 02H,955
04/1/2022 01H,9554
04/1/2022 00H,22866
03/31/2022 23H,30344
03/31/2022 22H,33889
03/31/2022 21H,36373
03/31/2022 20H,36886
03/31/2022 19H,37612
03/31/2022 18H,36891
03/31/2022 17H,35533
03/31/2022 16H,29736
03/31/2022 15H,21425
03/31/2022 14H,7760
03/31/2022 13H,1923
03/31/2022 12H,438
03/31/2022 11H,55
03/31/2022 10H,17
03/31/2022 09H,24
03/31/2022 08H,15
03/31/2022 07H,67
03/31/2022 06H,92
03/31/2022 05H,109
03/31/2022 04H,167
03/31/2022 03H,179
03/31/2022 02H,889
03/31/2022 01H,8170
03/31/2022 00H,19268
03/30/2022 23H,25536
03/30/2022 22H,30641
03/30/2022 21H,34693
03/30/2022 20H,36336
03/30/2022 19H,35976
03/30/2022 18H,34557
03/30/2022 17H,33071
03/30/2022 16H,30127
03/30/2022 15H,20371
03/30/2022 14H,9159
03/30/2022 13H,4054
03/30/2022 12H,1269
03/30/2022 11H,104
03/30/2022 10H,17
03/30/2022 09H,26
03/30/2022 08H,35
03/30/2022 07H,69
03/30/2022 06H,78
03/30/2022 05H,133
03/30/2022 04H,148
03/30/2022 03H,159
03/30/2022 02H,913
03/30/2022 01H,7497
03/30/2022 00H,14679
03/29/2022 23H,21881
03/29/2022 22H,29130
03/29/2022 21H,33383
03/29/2022 20H,36784
03/29/2022 19H,37989
03/29/2022 18H,36822
03/29/2022 17H,35613
03/29/2022 16H,32443
03/29/2022 15H,23725
03/29/2022 14H,12934
03/29/2022 13H,6034
03/29/2022 12H,1981
03/29/2022 11H,221
03/29/2022 10H,92
03/29/2022 09H,77
03/29/2022 08H,96
03/29/2022 07H,108
03/29/2022 06H,148
03/29/2022 05H,157
