Net generation from solar for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.SUN.H
17:17:50 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.SUN.H megawatthours
11/6/2021 12H,189
11/6/2021 11H,60
11/6/2021 10H,52
11/6/2021 09H,56
11/6/2021 08H,82
11/6/2021 07H,46
11/6/2021 06H,52
11/6/2021 05H,65
11/6/2021 04H,76
11/6/2021 03H,78
11/6/2021 02H,80
11/6/2021 01H,290
11/6/2021 00H,5524
11/5/2021 23H,17998
11/5/2021 22H,23606
11/5/2021 21H,25657
11/5/2021 20H,26531
11/5/2021 19H,28152
11/5/2021 18H,28909
11/5/2021 17H,28167
11/5/2021 16H,22984
11/5/2021 15H,11846
11/5/2021 14H,4051
11/5/2021 13H,1936
11/5/2021 12H,352
11/5/2021 11H,35
11/5/2021 10H,41
11/5/2021 09H,38
11/5/2021 08H,34
11/5/2021 07H,39
11/5/2021 06H,41
11/5/2021 05H,61
11/5/2021 04H,66
11/5/2021 03H,61
11/5/2021 02H,101
11/5/2021 01H,324
11/5/2021 00H,6040
11/4/2021 23H,17677
11/4/2021 22H,22840
11/4/2021 21H,24633
11/4/2021 20H,25431
11/4/2021 19H,26608
11/4/2021 18H,26275
11/4/2021 17H,25105
11/4/2021 16H,20790
11/4/2021 15H,10370
11/4/2021 14H,3753
11/4/2021 13H,1179
11/4/2021 12H,174
11/4/2021 11H,59
11/4/2021 10H,57
11/4/2021 09H,53
11/4/2021 08H,60
11/4/2021 07H,51
11/4/2021 06H,60
11/4/2021 05H,58
11/4/2021 04H,43
11/4/2021 03H,63
11/4/2021 02H,109
11/4/2021 01H,381
11/4/2021 00H,5648
11/3/2021 23H,15046
11/3/2021 22H,20363
11/3/2021 21H,24158
11/3/2021 20H,26934
11/3/2021 19H,28301
11/3/2021 18H,28860
11/3/2021 17H,27886
11/3/2021 16H,24065
11/3/2021 15H,14664
11/3/2021 14H,7555
11/3/2021 13H,2950
11/3/2021 12H,312
11/3/2021 11H,31
11/3/2021 10H,33
11/3/2021 09H,30
11/3/2021 08H,33
11/3/2021 07H,29
11/3/2021 06H,31
11/3/2021 05H,34
11/3/2021 04H,34
11/3/2021 03H,49
11/3/2021 02H,196
11/3/2021 01H,459
11/3/2021 00H,5603
11/2/2021 23H,14453
11/2/2021 22H,20206
11/2/2021 21H,24231
11/2/2021 20H,25480
11/2/2021 19H,26300
11/2/2021 18H,26515
11/2/2021 17H,25726
11/2/2021 16H,22155
11/2/2021 15H,12980
11/2/2021 14H,6818
11/2/2021 13H,2419
11/2/2021 12H,373
11/2/2021 11H,36
11/2/2021 10H,10
11/2/2021 09H,15
11/2/2021 08H,19
11/2/2021 07H,10
11/2/2021 06H,16
11/2/2021 05H,16
11/2/2021 04H,23
11/2/2021 03H,51
11/2/2021 02H,46
11/2/2021 01H,211
11/2/2021 00H,3379
11/1/2021 23H,9692
11/1/2021 22H,17139
11/1/2021 21H,23004
11/1/2021 20H,28013
11/1/2021 19H,29288
11/1/2021 18H,28081
11/1/2021 17H,27581
11/1/2021 16H,26507
11/1/2021 15H,18488
11/1/2021 14H,10242
11/1/2021 13H,4090
11/1/2021 12H,640
11/1/2021 11H,46
11/1/2021 10H,47
11/1/2021 09H,37
11/1/2021 08H,41
11/1/2021 07H,54
11/1/2021 06H,56
11/1/2021 05H,64
11/1/2021 04H,88
11/1/2021 03H,116
11/1/2021 02H,121
11/1/2021 01H,344
11/1/2021 00H,4568
10/31/2021 23H,16258
10/31/2021 22H,24349
10/31/2021 21H,29050
10/31/2021 20H,31500
10/31/2021 19H,32112
10/31/2021 18H,32274
10/31/2021 17H,31379
10/31/2021 16H,27683
10/31/2021 15H,19110
10/31/2021 14H,8454
10/31/2021 13H,3042
10/31/2021 12H,502
10/31/2021 11H,10
10/31/2021 10H,16
10/31/2021 09H,11
10/31/2021 08H,16
10/31/2021 07H,17
10/31/2021 06H,26
10/31/2021 05H,30
10/31/2021 04H,4041
10/31/2021 03H,4079
10/31/2021 02H,4064
10/31/2021 01H,6297
10/31/2021 00H,9526
10/30/2021 23H,17280
10/30/2021 22H,24164
10/30/2021 21H,27915
10/30/2021 20H,29898
10/30/2021 19H,30391
10/30/2021 18H,31234
10/30/2021 17H,31701
10/30/2021 16H,27995
10/30/2021 15H,16948
10/30/2021 14H,6267
10/30/2021 13H,2302
10/30/2021 12H,474
10/30/2021 11H,32
10/30/2021 10H,38
10/30/2021 09H,40
10/30/2021 08H,55
10/30/2021 07H,65
10/30/2021 06H,68
10/30/2021 05H,88
10/30/2021 04H,4073
10/30/2021 03H,85
10/30/2021 02H,120
10/30/2021 01H,467
10/30/2021 00H,7562
10/29/2021 23H,20068
10/29/2021 22H,25402
10/29/2021 21H,27300
10/29/2021 20H,29392
10/29/2021 19H,30476
10/29/2021 18H,31866
10/29/2021 17H,31335
10/29/2021 16H,28503
10/29/2021 15H,17657
10/29/2021 14H,6273
10/29/2021 13H,1530
10/29/2021 12H,135
10/29/2021 11H,59
10/29/2021 10H,53
10/29/2021 09H,57
10/29/2021 08H,62
10/29/2021 07H,65
10/29/2021 06H,83
10/29/2021 05H,85
10/29/2021 04H,157
10/29/2021 03H,200
10/29/2021 02H,402
10/29/2021 01H,803
10/29/2021 00H,8214
10/28/2021 23H,18397
10/28/2021 22H,22266
10/28/2021 21H,24014
10/28/2021 20H,24677
10/28/2021 19H,25919
10/28/2021 18H,26791
10/28/2021 17H,27165
10/28/2021 16H,24466
10/28/2021 15H,14333
10/28/2021 14H,4819
10/28/2021 13H,2290
10/28/2021 12H,536
10/28/2021 11H,95
10/28/2021 10H,117
10/28/2021 09H,51
10/28/2021 08H,45
10/28/2021 07H,38
10/28/2021 06H,40
10/28/2021 05H,97
10/28/2021 04H,138
10/28/2021 03H,150
10/28/2021 02H,185
10/28/2021 01H,618
10/28/2021 00H,7569
10/27/2021 23H,17296
10/27/2021 22H,22814
10/27/2021 21H,27444
10/27/2021 20H,30584
10/27/2021 19H,32082
10/27/2021 18H,32490
10/27/2021 17H,31435
10/27/2021 16H,27552
10/27/2021 15H,18021
10/27/2021 14H,9293
10/27/2021 13H,3746
10/27/2021 12H,690
10/27/2021 11H,31
10/27/2021 10H,41
10/27/2021 09H,50
10/27/2021 08H,61
10/27/2021 07H,52
10/27/2021 06H,32
10/27/2021 05H,71
10/27/2021 04H,91
10/27/2021 03H,121
10/27/2021 02H,254
10/27/2021 01H,644
10/27/2021 00H,7408
10/26/2021 23H,16285
10/26/2021 22H,22714
10/26/2021 21H,27137
10/26/2021 20H,29582
10/26/2021 19H,30764
10/26/2021 18H,30621
10/26/2021 17H,30269
10/26/2021 16H,27469
10/26/2021 15H,18575
10/26/2021 14H,9463
10/26/2021 13H,3440
10/26/2021 12H,427
10/26/2021 11H,49
10/26/2021 10H,85
10/26/2021 09H,79
10/26/2021 08H,94
10/26/2021 07H,95
10/26/2021 06H,91
10/26/2021 05H,97
10/26/2021 04H,94
10/26/2021 03H,110
10/26/2021 02H,324
10/26/2021 01H,3133
10/26/2021 00H,5474
10/25/2021 23H,14684
10/25/2021 22H,19219
10/25/2021 21H,23441
10/25/2021 20H,24917
10/25/2021 19H,24888
10/25/2021 18H,24527
10/25/2021 17H,23678
10/25/2021 16H,21141
10/25/2021 15H,13864
10/25/2021 14H,5053
10/25/2021 13H,1253
10/25/2021 12H,225
10/25/2021 11H,76
10/25/2021 10H,62
10/25/2021 09H,67
10/25/2021 08H,66
10/25/2021 07H,75
10/25/2021 06H,53
10/25/2021 05H,42
10/25/2021 04H,38
10/25/2021 03H,67
10/25/2021 02H,147
10/25/2021 01H,413
10/25/2021 00H,5118
10/24/2021 23H,14267
10/24/2021 22H,19168
10/24/2021 21H,22100
10/24/2021 20H,23509
10/24/2021 19H,26562
10/24/2021 18H,27347
10/24/2021 17H,27564
10/24/2021 16H,24573
10/24/2021 15H,18005
10/24/2021 14H,8636
10/24/2021 13H,3351
10/24/2021 12H,441
10/24/2021 11H,27
10/24/2021 10H,43
10/24/2021 09H,54
10/24/2021 08H,49
10/24/2021 07H,61
10/24/2021 06H,71
10/24/2021 05H,93
10/24/2021 04H,6084
10/24/2021 03H,6089
10/24/2021 02H,6134
10/24/2021 01H,8272
10/24/2021 00H,10801
10/23/2021 23H,18093
10/23/2021 22H,25820
10/23/2021 21H,25293
10/23/2021 20H,27901
10/23/2021 19H,29665
10/23/2021 18H,30597
10/23/2021 17H,28600
10/23/2021 16H,25599
10/23/2021 15H,18706
10/23/2021 14H,9433
10/23/2021 13H,3367
10/23/2021 12H,520
10/23/2021 11H,43
10/23/2021 10H,51
10/23/2021 09H,59
10/23/2021 08H,52
10/23/2021 07H,54
10/23/2021 06H,52
10/23/2021 05H,59
10/23/2021 04H,39
10/23/2021 03H,77
10/23/2021 02H,349
10/23/2021 01H,823
10/23/2021 00H,7365
10/22/2021 23H,17876
10/22/2021 22H,24912
10/22/2021 21H,28041
10/22/2021 20H,29306
10/22/2021 19H,30403
10/22/2021 18H,30692
10/22/2021 17H,30627
10/22/2021 16H,27217
10/22/2021 15H,17348
10/22/2021 14H,6860
10/22/2021 13H,2190
10/22/2021 12H,212
10/22/2021 11H,15
10/22/2021 10H,22
10/22/2021 09H,19
10/22/2021 08H,19
10/22/2021 07H,23
10/22/2021 06H,24
10/22/2021 05H,39
10/22/2021 04H,54
10/22/2021 03H,80
10/22/2021 02H,355
10/22/2021 01H,738
10/22/2021 00H,6630
10/21/2021 23H,17715
10/21/2021 22H,22805
10/21/2021 21H,27797
10/21/2021 20H,31680
10/21/2021 19H,32017
10/21/2021 18H,32397
10/21/2021 17H,30804
10/21/2021 16H,27285
10/21/2021 15H,18163
10/21/2021 14H,8854
10/21/2021 13H,3998
10/21/2021 12H,739
10/21/2021 11H,14
10/21/2021 10H,4
10/21/2021 09H,13
10/21/2021 08H,7
10/21/2021 07H,-1
10/21/2021 06H,37
10/21/2021 05H,43
10/21/2021 04H,45
10/21/2021 03H,53
10/21/2021 02H,372
10/21/2021 01H,824
10/21/2021 00H,7933
10/20/2021 23H,17865
10/20/2021 22H,24684
10/20/2021 21H,29398
10/20/2021 20H,33224
10/20/2021 19H,34357
10/20/2021 18H,34658
10/20/2021 17H,34070
10/20/2021 16H,31793
10/20/2021 15H,23051
10/20/2021 14H,11430
10/20/2021 13H,4644
10/20/2021 12H,554
10/20/2021 11H,64
10/20/2021 10H,69
10/20/2021 09H,75
10/20/2021 08H,75
10/20/2021 07H,84
10/20/2021 06H,87
10/20/2021 05H,86
10/20/2021 04H,82
10/20/2021 03H,224
10/20/2021 02H,225
10/20/2021 01H,912
10/20/2021 00H,9614
10/19/2021 23H,18017
10/19/2021 22H,25209
10/19/2021 21H,31172
10/19/2021 20H,33952
10/19/2021 19H,34828
10/19/2021 18H,35242
10/19/2021 17H,33760
10/19/2021 16H,30578
10/19/2021 15H,22080
10/19/2021 14H,11518
10/19/2021 13H,4852
10/19/2021 12H,883
10/19/2021 11H,62
10/19/2021 10H,65
10/19/2021 09H,65
10/19/2021 08H,62
10/19/2021 07H,65
10/19/2021 06H,64
10/19/2021 05H,76
10/19/2021 04H,103
10/19/2021 03H,142
10/19/2021 02H,411
10/19/2021 01H,985
10/19/2021 00H,8503
10/18/2021 23H,15759
10/18/2021 22H,22453
10/18/2021 21H,27456
10/18/2021 20H,31409
10/18/2021 19H,33825
10/18/2021 18H,34454
10/18/2021 17H,33954
10/18/2021 16H,30431
10/18/2021 15H,22254
10/18/2021 14H,12092
10/18/2021 13H,5302
10/18/2021 12H,1050
10/18/2021 11H,76
10/18/2021 10H,74
10/18/2021 09H,62
10/18/2021 08H,48
10/18/2021 07H,68
10/18/2021 06H,63
10/18/2021 05H,41
10/18/2021 04H,33
10/18/2021 03H,92
10/18/2021 02H,357
10/18/2021 01H,872
10/18/2021 00H,9674
10/17/2021 23H,20488
10/17/2021 22H,27458
10/17/2021 21H,32970
10/17/2021 20H,35524
10/17/2021 19H,36343
10/17/2021 18H,36928
10/17/2021 17H,34784
10/17/2021 16H,31138
10/17/2021 15H,22809
10/17/2021 14H,12421
10/17/2021 13H,5384
10/17/2021 12H,1139
10/17/2021 11H,67
10/17/2021 10H,73
10/17/2021 09H,78
10/17/2021 08H,86
10/17/2021 07H,88
10/17/2021 06H,90
10/17/2021 05H,84
10/17/2021 04H,99
10/17/2021 03H,102
10/17/2021 02H,405
10/17/2021 01H,1230
10/17/2021 00H,11029
10/16/2021 23H,23430
10/16/2021 22H,30185
10/16/2021 21H,33166
10/16/2021 20H,34905
10/16/2021 19H,35970
10/16/2021 18H,36506
10/16/2021 17H,36710
10/16/2021 16H,34921
10/16/2021 15H,25666
10/16/2021 14H,11477
10/16/2021 13H,4285
10/16/2021 12H,796
10/16/2021 11H,55
10/16/2021 10H,59
10/16/2021 09H,62
10/16/2021 08H,58
10/16/2021 07H,70
10/16/2021 06H,81
10/16/2021 05H,101
10/16/2021 04H,117
10/16/2021 03H,147
10/16/2021 02H,168
10/16/2021 01H,1477
10/16/2021 00H,12035
10/15/2021 23H,21765
10/15/2021 22H,27927
10/15/2021 21H,30926
10/15/2021 20H,32725
10/15/2021 19H,32452
10/15/2021 18H,33084
10/15/2021 17H,33792
10/15/2021 16H,31466
10/15/2021 15H,22531
10/15/2021 14H,11168
10/15/2021 13H,4597
10/15/2021 12H,913
10/15/2021 11H,117
10/15/2021 10H,102
10/15/2021 09H,70
10/15/2021 08H,84
10/15/2021 07H,60
10/15/2021 06H,59
10/15/2021 05H,51
10/15/2021 04H,57
10/15/2021 03H,83
10/15/2021 02H,421
10/15/2021 01H,1262
10/15/2021 00H,11504
10/14/2021 23H,21268
10/14/2021 22H,27597
10/14/2021 21H,31752
10/14/2021 20H,34181
10/14/2021 19H,35142
10/14/2021 18H,35827
10/14/2021 17H,35201
10/14/2021 16H,31603
10/14/2021 15H,22234
10/14/2021 14H,10610
10/14/2021 13H,4135
10/14/2021 12H,557
10/14/2021 11H,17
10/14/2021 10H,20
10/14/2021 09H,18
10/14/2021 08H,18
10/14/2021 07H,19
10/14/2021 06H,39
10/14/2021 05H,64
10/14/2021 04H,71
10/14/2021 03H,84
10/14/2021 02H,496
10/14/2021 01H,1373
10/14/2021 00H,10997
10/13/2021 23H,17730
10/13/2021 22H,22558
10/13/2021 21H,27147
10/13/2021 20H,29372
10/13/2021 19H,30727
10/13/2021 18H,31574
10/13/2021 17H,30988
10/13/2021 16H,27837
10/13/2021 15H,19251
10/13/2021 14H,9313
10/13/2021 13H,3489
10/13/2021 12H,362
10/13/2021 11H,1
10/13/2021 10H,35
10/13/2021 09H,-4
10/13/2021 08H,0
10/13/2021 07H,-1
10/13/2021 06H,-5
10/13/2021 05H,1
10/13/2021 04H,5
10/13/2021 03H,11
10/13/2021 02H,454
10/13/2021 01H,1320
10/13/2021 00H,9447
10/12/2021 23H,14634
10/12/2021 22H,19735
10/12/2021 21H,23694
10/12/2021 20H,24343
10/12/2021 19H,25584
10/12/2021 18H,25657
10/12/2021 17H,24522
10/12/2021 16H,23008
10/12/2021 15H,15712
10/12/2021 14H,6426
10/12/2021 13H,2201
10/12/2021 12H,325
10/12/2021 11H,88
10/12/2021 10H,94
10/12/2021 09H,66
10/12/2021 08H,61
10/12/2021 07H,63
10/12/2021 06H,49
10/12/2021 05H,75
10/12/2021 04H,84
10/12/2021 03H,98
10/12/2021 02H,282
10/12/2021 01H,834
10/12/2021 00H,8132
10/11/2021 23H,18255
10/11/2021 22H,24223
10/11/2021 21H,27775
10/11/2021 20H,29251
10/11/2021 19H,29330
10/11/2021 18H,30369
10/11/2021 17H,30046
10/11/2021 16H,27269
10/11/2021 15H,21278
10/11/2021 14H,9088
10/11/2021 13H,2991
10/11/2021 12H,377
10/11/2021 11H,83
10/11/2021 10H,64
10/11/2021 09H,46
10/11/2021 08H,45
10/11/2021 07H,55
10/11/2021 06H,82
10/11/2021 05H,71
10/11/2021 04H,61
10/11/2021 03H,60
10/11/2021 02H,558
10/11/2021 01H,1725
10/11/2021 00H,11311
10/10/2021 23H,17896
10/10/2021 22H,25467
10/10/2021 21H,29473
10/10/2021 20H,30627
10/10/2021 19H,31178
10/10/2021 18H,30926
10/10/2021 17H,28859
10/10/2021 16H,26257
10/10/2021 15H,18986
10/10/2021 14H,7736
10/10/2021 13H,2431
10/10/2021 12H,211
10/10/2021 11H,15
10/10/2021 10H,17
10/10/2021 09H,20
10/10/2021 08H,27
10/10/2021 07H,19
10/10/2021 06H,19
10/10/2021 05H,55
10/10/2021 04H,83
10/10/2021 03H,84
10/10/2021 02H,588
10/10/2021 01H,1740
10/10/2021 00H,12057
10/9/2021 23H,18704
10/9/2021 22H,24207
10/9/2021 21H,26633
10/9/2021 20H,27756
10/9/2021 19H,29158
10/9/2021 18H,28893
10/9/2021 17H,28007
10/9/2021 16H,24386
10/9/2021 15H,15902
10/9/2021 14H,5663
10/9/2021 13H,1635
10/9/2021 12H,172
10/9/2021 11H,20
10/9/2021 10H,30
10/9/2021 09H,37
10/9/2021 08H,47
10/9/2021 07H,55
10/9/2021 06H,83
10/9/2021 05H,77
10/9/2021 04H,76
10/9/2021 03H,106
10/9/2021 02H,483
10/9/2021 01H,1371
10/9/2021 00H,9547
10/8/2021 23H,16413
10/8/2021 22H,21660
10/8/2021 21H,24419
10/8/2021 20H,24628
10/8/2021 19H,25530
10/8/2021 18H,25534
10/8/2021 17H,23415
10/8/2021 16H,19275
10/8/2021 15H,12663
10/8/2021 14H,6510
10/8/2021 13H,2078
10/8/2021 12H,459
10/8/2021 11H,69
10/8/2021 10H,64
10/8/2021 09H,12
10/8/2021 08H,23
10/8/2021 07H,29
10/8/2021 06H,37
10/8/2021 05H,35
10/8/2021 04H,27
10/8/2021 03H,40
10/8/2021 02H,299
10/8/2021 01H,979
10/8/2021 00H,8326
10/7/2021 23H,16311
10/7/2021 22H,21056
10/7/2021 21H,24085
10/7/2021 20H,26700
10/7/2021 19H,28173
10/7/2021 18H,28131
10/7/2021 17H,25963
10/7/2021 16H,21663
10/7/2021 15H,15299
10/7/2021 14H,6360
10/7/2021 13H,1858
10/7/2021 12H,358
10/7/2021 11H,60
10/7/2021 10H,110
10/7/2021 09H,131
10/7/2021 08H,131
10/7/2021 07H,134
10/7/2021 06H,163
10/7/2021 05H,181
10/7/2021 04H,202
10/7/2021 03H,206
10/7/2021 02H,470
10/7/2021 01H,1570
10/7/2021 00H,9619
10/6/2021 23H,18303
10/6/2021 22H,25054
10/6/2021 21H,28682
10/6/2021 20H,29709
10/6/2021 19H,30239
10/6/2021 18H,30921
10/6/2021 17H,29524
10/6/2021 16H,26359
10/6/2021 15H,18400
10/6/2021 14H,6637
10/6/2021 13H,1759
10/6/2021 12H,336
10/6/2021 11H,38
10/6/2021 10H,38
10/6/2021 09H,16
10/6/2021 08H,9
10/6/2021 07H,5
10/6/2021 06H,1
10/6/2021 05H,11
10/6/2021 04H,73
10/6/2021 03H,42
10/6/2021 02H,568
10/6/2021 01H,1366
10/6/2021 00H,9808
10/5/2021 23H,17823
10/5/2021 22H,22759
10/5/2021 21H,26578
10/5/2021 20H,28447
10/5/2021 19H,28386
10/5/2021 18H,29512
10/5/2021 17H,28329
10/5/2021 16H,25185
10/5/2021 15H,18101
10/5/2021 14H,8264
10/5/2021 13H,3248
10/5/2021 12H,811
10/5/2021 11H,87
10/5/2021 10H,101
10/5/2021 09H,26
10/5/2021 08H,18
10/5/2021 07H,7
10/5/2021 06H,10
10/5/2021 05H,42
10/5/2021 04H,69
10/5/2021 03H,140
10/5/2021 02H,165
10/5/2021 01H,1276
10/5/2021 00H,7726
10/4/2021 23H,15624
10/4/2021 22H,21434
10/4/2021 21H,24949
10/4/2021 20H,27858
10/4/2021 19H,30472
10/4/2021 18H,29825
10/4/2021 17H,29181
10/4/2021 16H,27146
10/4/2021 15H,19447
10/4/2021 14H,9315
10/4/2021 13H,3143
10/4/2021 12H,554
10/4/2021 11H,98
10/4/2021 10H,65
10/4/2021 09H,52
10/4/2021 08H,62
10/4/2021 07H,63
10/4/2021 06H,55
10/4/2021 05H,45
10/4/2021 04H,71
10/4/2021 03H,78
10/4/2021 02H,731
10/4/2021 01H,1987
10/4/2021 00H,11894
10/3/2021 23H,20840
10/3/2021 22H,25615
10/3/2021 21H,29708
10/3/2021 20H,31902
10/3/2021 19H,33748
10/3/2021 18H,34817
10/3/2021 17H,34118
10/3/2021 16H,31672
10/3/2021 15H,22550
10/3/2021 14H,10685
10/3/2021 13H,4427
10/3/2021 12H,1078
10/3/2021 11H,60
10/3/2021 10H,42
10/3/2021 09H,47
10/3/2021 08H,42
10/3/2021 07H,40
10/3/2021 06H,58
10/3/2021 05H,61
10/3/2021 04H,2115
10/3/2021 03H,2139
10/3/2021 02H,3142
10/3/2021 01H,4717
10/3/2021 00H,15579
10/2/2021 23H,22396
10/2/2021 22H,28271
10/2/2021 21H,32312
10/2/2021 20H,34882
10/2/2021 19H,35943
10/2/2021 18H,36634
10/2/2021 17H,34703
10/2/2021 16H,30498
10/2/2021 15H,22843
10/2/2021 14H,11326
10/2/2021 13H,5120
10/2/2021 12H,1332
10/2/2021 11H,68
10/2/2021 10H,64
10/2/2021 09H,59
10/2/2021 08H,69
10/2/2021 07H,72
10/2/2021 06H,101
10/2/2021 05H,97
10/2/2021 04H,2147
10/2/2021 03H,153
10/2/2021 02H,1175
10/2/2021 01H,2890
10/2/2021 00H,12780
10/1/2021 23H,19811
10/1/2021 22H,24987
10/1/2021 21H,27634
10/1/2021 20H,31637
10/1/2021 19H,33326
10/1/2021 18H,34297
10/1/2021 17H,33853
10/1/2021 16H,30260
10/1/2021 15H,21165
10/1/2021 14H,10536
10/1/2021 13H,5051
10/1/2021 12H,1413
10/1/2021 11H,121
10/1/2021 10H,77
10/1/2021 09H,41
10/1/2021 08H,58
10/1/2021 07H,53
10/1/2021 06H,54
10/1/2021 05H,52
10/1/2021 04H,94
10/1/2021 03H,113
10/1/2021 02H,1290
10/1/2021 01H,3172
10/1/2021 00H,13191
09/30/2021 23H,19539
09/30/2021 22H,25089
09/30/2021 21H,29959
09/30/2021 20H,33304
09/30/2021 19H,35008
09/30/2021 18H,35468
09/30/2021 17H,33769
09/30/2021 16H,30401
09/30/2021 15H,21987
09/30/2021 14H,10684
09/30/2021 13H,4644
09/30/2021 12H,1184
09/30/2021 11H,73
09/30/2021 10H,53
09/30/2021 09H,49
09/30/2021 08H,42
09/30/2021 07H,39
09/30/2021 06H,40
09/30/2021 05H,41
09/30/2021 04H,69
09/30/2021 03H,75
09/30/2021 02H,1230
09/30/2021 01H,3026
09/30/2021 00H,14056
09/29/2021 23H,23260
09/29/2021 22H,29189
09/29/2021 21H,33720
09/29/2021 20H,35223
09/29/2021 19H,35362
09/29/2021 18H,35411
09/29/2021 17H,34161
09/29/2021 16H,30893
09/29/2021 15H,23426
09/29/2021 14H,12479
09/29/2021 13H,5208
09/29/2021 12H,1293
09/29/2021 11H,86
09/29/2021 10H,55
09/29/2021 09H,46
09/29/2021 08H,52
09/29/2021 07H,53
09/29/2021 06H,33
09/29/2021 05H,35
09/29/2021 04H,75
09/29/2021 03H,89
09/29/2021 02H,2316
09/29/2021 01H,2801
09/29/2021 00H,12781
09/28/2021 23H,20190
09/28/2021 22H,27321
09/28/2021 21H,31435
09/28/2021 20H,32756
09/28/2021 19H,33062
09/28/2021 18H,32866
09/28/2021 17H,32108
09/28/2021 16H,30327
09/28/2021 15H,23028
09/28/2021 14H,12497
09/28/2021 13H,5508
09/28/2021 12H,1334
09/28/2021 11H,83
09/28/2021 10H,37
09/28/2021 09H,29
09/28/2021 08H,61
09/28/2021 07H,43
09/28/2021 06H,54
09/28/2021 05H,69
09/28/2021 04H,88
09/28/2021 03H,93
09/28/2021 02H,976
09/28/2021 01H,2345
09/28/2021 00H,11334
09/27/2021 23H,20444
09/27/2021 22H,27465
09/27/2021 21H,32761
09/27/2021 20H,35355
09/27/2021 19H,35764
09/27/2021 18H,35640
09/27/2021 17H,34751
09/27/2021 16H,31660
09/27/2021 15H,23007
09/27/2021 14H,13027
09/27/2021 13H,6215
09/27/2021 12H,1583
09/27/2021 11H,94
09/27/2021 10H,53
09/27/2021 09H,41
09/27/2021 08H,37
09/27/2021 07H,37
09/27/2021 06H,38
09/27/2021 05H,36
09/27/2021 04H,63
09/27/2021 03H,73
09/27/2021 02H,781
09/27/2021 01H,2408
09/27/2021 00H,11380
09/26/2021 23H,20825
09/26/2021 22H,27901
09/26/2021 21H,32671
09/26/2021 20H,34806
09/26/2021 19H,35441
09/26/2021 18H,34986
09/26/2021 17H,33867
09/26/2021 16H,29462
09/26/2021 15H,23124
09/26/2021 14H,14060
09/26/2021 13H,6354
09/26/2021 12H,1640
09/26/2021 11H,79
09/26/2021 10H,40
09/26/2021 09H,41
09/26/2021 08H,36
09/26/2021 07H,44
09/26/2021 06H,71
09/26/2021 05H,72
09/26/2021 04H,2139
09/26/2021 03H,2151
09/26/2021 02H,3108
09/26/2021 01H,5056
09/26/2021 00H,12108
09/25/2021 23H,21106
09/25/2021 22H,28011
09/25/2021 21H,32752
09/25/2021 20H,35438
09/25/2021 19H,37018
09/25/2021 18H,37035
09/25/2021 17H,35223
09/25/2021 16H,31985
09/25/2021 15H,24612
09/25/2021 14H,13808
09/25/2021 13H,6106
09/25/2021 12H,1576
09/25/2021 11H,95
09/25/2021 10H,49
09/25/2021 09H,41
09/25/2021 08H,47
09/25/2021 07H,45
09/25/2021 06H,47
09/25/2021 05H,54
09/25/2021 04H,2103
09/25/2021 03H,2128
09/25/2021 02H,824
09/25/2021 01H,2712
09/25/2021 00H,11554
09/24/2021 23H,20204
09/24/2021 22H,27937
09/24/2021 21H,32803
09/24/2021 20H,33865
09/24/2021 19H,34514
09/24/2021 18H,33860
09/24/2021 17H,32088
09/24/2021 16H,28339
09/24/2021 15H,21833
09/24/2021 14H,13631
09/24/2021 13H,6377
09/24/2021 12H,1373
09/24/2021 11H,103
09/24/2021 10H,89
09/24/2021 09H,140
09/24/2021 08H,139
09/24/2021 07H,133
09/24/2021 06H,148
09/24/2021 05H,165
09/24/2021 04H,191
09/24/2021 03H,175
09/24/2021 02H,1080
09/24/2021 01H,2998
09/24/2021 00H,11955
09/23/2021 23H,20156
09/23/2021 22H,26676
09/23/2021 21H,31700
09/23/2021 20H,33961
09/23/2021 19H,34761
09/23/2021 18H,34181
09/23/2021 17H,33458
09/23/2021 16H,29294
09/23/2021 15H,22567
09/23/2021 14H,11909
09/23/2021 13H,4355
09/23/2021 12H,657
09/23/2021 11H,63
09/23/2021 10H,57
09/23/2021 09H,45
09/23/2021 08H,48
09/23/2021 07H,57
09/23/2021 06H,102
09/23/2021 05H,115
09/23/2021 04H,146
09/23/2021 03H,150
09/23/2021 02H,1803
09/23/2021 01H,4102
09/23/2021 00H,16468
09/22/2021 23H,25301
09/22/2021 22H,29263
09/22/2021 21H,31139
09/22/2021 20H,32607
09/22/2021 19H,33265
09/22/2021 18H,33989
09/22/2021 17H,33357
09/22/2021 16H,30779
09/22/2021 15H,22828
09/22/2021 14H,9502
09/22/2021 13H,2406
09/22/2021 12H,511
09/22/2021 11H,135
09/22/2021 10H,93
09/22/2021 09H,90
09/22/2021 08H,84
09/22/2021 07H,119
09/22/2021 06H,244
09/22/2021 05H,247
09/22/2021 04H,282
09/22/2021 03H,286
09/22/2021 02H,2280
09/22/2021 01H,4948
09/22/2021 00H,15256
09/21/2021 23H,20787
09/21/2021 22H,23372
09/21/2021 21H,25150
09/21/2021 20H,26541
09/21/2021 19H,27585
09/21/2021 18H,28502
09/21/2021 17H,27232
09/21/2021 16H,24352
09/21/2021 15H,17163
