Net generation from wind for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WND.H
17:18:27 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WND.H megawatthours
04/1/2022 02H,32739
04/1/2022 01H,32654
04/1/2022 00H,34907
03/31/2022 23H,35984
03/31/2022 22H,37352
03/31/2022 21H,39134
03/31/2022 20H,41674
03/31/2022 19H,44029
03/31/2022 18H,48374
03/31/2022 17H,53027
03/31/2022 16H,56049
03/31/2022 15H,57606
03/31/2022 14H,61335
03/31/2022 13H,65189
03/31/2022 12H,66362
03/31/2022 11H,66457
03/31/2022 10H,67569
03/31/2022 09H,65122
03/31/2022 08H,63327
03/31/2022 07H,62803
03/31/2022 06H,65346
03/31/2022 05H,65610
03/31/2022 04H,64407
03/31/2022 03H,63317
03/31/2022 02H,63993
03/31/2022 01H,64858
03/31/2022 00H,70612
03/30/2022 23H,74688
03/30/2022 22H,77324
03/30/2022 21H,78148
03/30/2022 20H,81275
03/30/2022 19H,82320
03/30/2022 18H,81782
03/30/2022 17H,84138
03/30/2022 16H,84663
03/30/2022 15H,83599
03/30/2022 14H,83958
03/30/2022 13H,82343
03/30/2022 12H,80837
03/30/2022 11H,79867
03/30/2022 10H,80007
03/30/2022 09H,80001
03/30/2022 08H,79681
03/30/2022 07H,80088
03/30/2022 06H,83751
03/30/2022 05H,85124
03/30/2022 04H,84458
03/30/2022 03H,88414
03/30/2022 02H,90952
03/30/2022 01H,89549
03/30/2022 00H,88039
03/29/2022 23H,86804
03/29/2022 22H,85416
03/29/2022 21H,85215
03/29/2022 20H,84159
03/29/2022 19H,83251
03/29/2022 18H,83932
03/29/2022 17H,84231
03/29/2022 16H,84009
03/29/2022 15H,83081
03/29/2022 14H,83301
03/29/2022 13H,83693
03/29/2022 12H,82080
03/29/2022 11H,81818
03/29/2022 10H,81320
03/29/2022 09H,81073
03/29/2022 08H,80676
03/29/2022 07H,79897
03/29/2022 06H,80517
03/29/2022 05H,81201
03/29/2022 04H,79838
03/29/2022 03H,80470
03/29/2022 02H,75804
03/29/2022 01H,70321
03/29/2022 00H,68259
03/28/2022 23H,65175
03/28/2022 22H,62646
03/28/2022 21H,58514
03/28/2022 20H,53600
03/28/2022 19H,50646
03/28/2022 18H,50401
03/28/2022 17H,52368
03/28/2022 16H,55196
03/28/2022 15H,56397
03/28/2022 14H,59461
03/28/2022 13H,61606
03/28/2022 12H,61381
03/28/2022 11H,60627
03/28/2022 10H,59039
03/28/2022 09H,59850
03/28/2022 08H,59465
03/28/2022 07H,59419
03/28/2022 06H,60497
03/28/2022 05H,61125
03/28/2022 04H,63460
03/28/2022 03H,61151
03/28/2022 02H,56589
03/28/2022 01H,50552
03/28/2022 00H,47906
03/27/2022 23H,45368
03/27/2022 22H,43655
03/27/2022 21H,42258
03/27/2022 20H,40985
03/27/2022 19H,40639
03/27/2022 18H,42627
03/27/2022 17H,44402
03/27/2022 16H,48245
03/27/2022 15H,52929
03/27/2022 14H,60274
03/27/2022 13H,62292
03/27/2022 12H,63414
03/27/2022 11H,64412
03/27/2022 10H,65460
03/27/2022 09H,66294
03/27/2022 08H,66634
03/27/2022 07H,65942
03/27/2022 06H,66770
03/27/2022 05H,66126
03/27/2022 04H,66808
03/27/2022 03H,59407
03/27/2022 02H,53699
03/27/2022 01H,47790
03/27/2022 00H,45471
03/26/2022 23H,44235
03/26/2022 22H,43407
03/26/2022 21H,43156
03/26/2022 20H,44102
03/26/2022 19H,44877
03/26/2022 18H,45473
03/26/2022 17H,46880
03/26/2022 16H,46182
03/26/2022 15H,48150
03/26/2022 14H,54749
03/26/2022 13H,56373
03/26/2022 12H,57535
03/26/2022 11H,58905
03/26/2022 10H,57529
03/26/2022 09H,58505
03/26/2022 08H,61392
03/26/2022 07H,64961
03/26/2022 06H,66333
03/26/2022 05H,64693
03/26/2022 04H,59569
03/26/2022 03H,61546
03/26/2022 02H,55981
03/26/2022 01H,51449
03/26/2022 00H,50665
03/25/2022 23H,50529
03/25/2022 22H,49541
03/25/2022 21H,49514
03/25/2022 20H,50464
03/25/2022 19H,50756
03/25/2022 18H,51217
03/25/2022 17H,49599
03/25/2022 16H,46695
03/25/2022 15H,45543
03/25/2022 14H,46953
03/25/2022 13H,46978
03/25/2022 12H,45678
03/25/2022 11H,45639
03/25/2022 10H,44608
03/25/2022 09H,43733
03/25/2022 08H,41210
03/25/2022 07H,38660
03/25/2022 06H,34524
03/25/2022 05H,31894
03/25/2022 04H,32566
03/25/2022 03H,26977
03/25/2022 02H,24042
03/25/2022 01H,25780
03/25/2022 00H,34170
03/24/2022 23H,42457
03/24/2022 22H,48037
03/24/2022 21H,51834
03/24/2022 20H,54168
03/24/2022 19H,55544
03/24/2022 18H,55481
03/24/2022 17H,50069
03/24/2022 16H,43057
03/24/2022 15H,45171
03/24/2022 14H,54990
03/24/2022 13H,58166
03/24/2022 12H,58129
03/24/2022 11H,57376
03/24/2022 10H,55895
03/24/2022 09H,54729
03/24/2022 08H,53133
03/24/2022 07H,49777
03/24/2022 06H,49464
03/24/2022 05H,51742
03/24/2022 04H,54627
03/24/2022 03H,59241
03/24/2022 02H,65475
03/24/2022 01H,72294
03/24/2022 00H,75523
03/23/2022 23H,76153
03/23/2022 22H,76054
03/23/2022 21H,73076
03/23/2022 20H,71947
03/23/2022 19H,71377
03/23/2022 18H,69961
03/23/2022 17H,67252
03/23/2022 16H,66183
03/23/2022 15H,66529
03/23/2022 14H,70027
03/23/2022 13H,72647
03/23/2022 12H,72930
03/23/2022 11H,73011
03/23/2022 10H,73048
03/23/2022 09H,74627
03/23/2022 08H,75334
03/23/2022 07H,75222
03/23/2022 06H,75450
03/23/2022 05H,76154
03/23/2022 04H,73729
03/23/2022 03H,74844
03/23/2022 02H,76273
03/23/2022 01H,77698
03/23/2022 00H,78436
03/22/2022 23H,77449
03/22/2022 22H,77363
03/22/2022 21H,77507
03/22/2022 20H,76392
03/22/2022 19H,76094
03/22/2022 18H,76290
03/22/2022 17H,76865
03/22/2022 16H,76601
03/22/2022 15H,76412
03/22/2022 14H,76488
03/22/2022 13H,75978
03/22/2022 12H,74298
03/22/2022 11H,73038
03/22/2022 10H,70045
03/22/2022 09H,68622
03/22/2022 08H,65487
03/22/2022 07H,61670
03/22/2022 06H,61174
03/22/2022 05H,62358
03/22/2022 04H,63930
03/22/2022 03H,67272
03/22/2022 02H,68820
03/22/2022 01H,69381
03/22/2022 00H,68217
03/21/2022 23H,69339
03/21/2022 22H,68428
03/21/2022 21H,69435
03/21/2022 20H,67812
03/21/2022 19H,66891
03/21/2022 18H,66766
03/21/2022 17H,69382
03/21/2022 16H,72069
03/21/2022 15H,72219
03/21/2022 14H,75323
03/21/2022 13H,79609
03/21/2022 12H,79878
03/21/2022 11H,78838
03/21/2022 10H,78946
03/21/2022 09H,79561
03/21/2022 08H,80050
03/21/2022 07H,80551
03/21/2022 06H,80724
03/21/2022 05H,83020
03/21/2022 04H,84134
03/21/2022 03H,83053
03/21/2022 02H,82068
03/21/2022 01H,79802
03/21/2022 00H,77686
03/20/2022 23H,76614
03/20/2022 22H,76062
03/20/2022 21H,76359
03/20/2022 20H,75410
03/20/2022 19H,74060
03/20/2022 18H,71524
03/20/2022 17H,66547
03/20/2022 16H,62237
03/20/2022 15H,62515
03/20/2022 14H,65720
03/20/2022 13H,66220
03/20/2022 12H,65304
03/20/2022 11H,65967
03/20/2022 10H,67395
03/20/2022 09H,67618
03/20/2022 08H,66971
03/20/2022 07H,66080
03/20/2022 06H,65292
03/20/2022 05H,62476
03/20/2022 04H,55409
03/20/2022 03H,48737
03/20/2022 02H,40944
03/20/2022 01H,37086
03/20/2022 00H,39675
03/19/2022 23H,43482
03/19/2022 22H,43396
03/19/2022 21H,42659
03/19/2022 20H,40721
03/19/2022 19H,39179
03/19/2022 18H,37987
03/19/2022 17H,39968
03/19/2022 16H,40556
03/19/2022 15H,44676
03/19/2022 14H,52796
03/19/2022 13H,52238
03/19/2022 12H,49891
03/19/2022 11H,47157
03/19/2022 10H,44524
03/19/2022 09H,41105
03/19/2022 08H,37634
03/19/2022 07H,34717
03/19/2022 06H,33603
03/19/2022 05H,33472
03/19/2022 04H,32889
03/19/2022 03H,32126
03/19/2022 02H,32881
03/19/2022 01H,37333
03/19/2022 00H,46365
03/18/2022 23H,51486
03/18/2022 22H,53197
03/18/2022 21H,54322
03/18/2022 20H,55347
03/18/2022 19H,56811
03/18/2022 18H,58313
03/18/2022 17H,60362
03/18/2022 16H,61867
03/18/2022 15H,63573
03/18/2022 14H,66182
03/18/2022 13H,67286
03/18/2022 12H,66224
03/18/2022 11H,65548
03/18/2022 10H,63551
03/18/2022 09H,62981
03/18/2022 08H,63703
03/18/2022 07H,64636
03/18/2022 06H,66329
03/18/2022 05H,67433
03/18/2022 04H,68248
03/18/2022 03H,67370
03/18/2022 02H,65267
03/18/2022 01H,62843
03/18/2022 00H,61209
03/17/2022 23H,60849
03/17/2022 22H,60154
03/17/2022 21H,60606
03/17/2022 20H,59456
03/17/2022 19H,58605
03/17/2022 18H,58467
03/17/2022 17H,58980
03/17/2022 16H,59327
03/17/2022 15H,60966
03/17/2022 14H,66712
03/17/2022 13H,69965
03/17/2022 12H,69976
03/17/2022 11H,70064
03/17/2022 10H,69710
03/17/2022 09H,69035
03/17/2022 08H,68749
03/17/2022 07H,69807
03/17/2022 06H,70846
03/17/2022 05H,71485
03/17/2022 04H,68899
03/17/2022 03H,69228
03/17/2022 02H,63649
03/17/2022 01H,57044
03/17/2022 00H,56621
03/16/2022 23H,57959
03/16/2022 22H,60072
03/16/2022 21H,60632
03/16/2022 20H,61721
03/16/2022 19H,62957
03/16/2022 18H,64565
03/16/2022 17H,65713
03/16/2022 16H,63882
03/16/2022 15H,66472
03/16/2022 14H,71947
03/16/2022 13H,74384
03/16/2022 12H,72546
03/16/2022 11H,71202
03/16/2022 10H,69848
03/16/2022 09H,68359
03/16/2022 08H,66755
03/16/2022 07H,64959
03/16/2022 06H,61348
03/16/2022 05H,57285
03/16/2022 04H,58708
03/16/2022 03H,50169
03/16/2022 02H,44624
03/16/2022 01H,38863
03/16/2022 00H,37935
03/15/2022 23H,38223
03/15/2022 22H,37843
03/15/2022 21H,36797
03/15/2022 20H,36240
03/15/2022 19H,34460
03/15/2022 18H,33424
03/15/2022 17H,33980
03/15/2022 16H,35520
03/15/2022 15H,41320
03/15/2022 14H,49074
03/15/2022 13H,51648
03/15/2022 12H,52268
03/15/2022 11H,52497
03/15/2022 10H,53303
03/15/2022 09H,54015
03/15/2022 08H,54111
03/15/2022 07H,56240
03/15/2022 06H,57354
03/15/2022 05H,61054
03/15/2022 04H,64551
03/15/2022 03H,65389
03/15/2022 02H,62434
03/15/2022 01H,64059
03/15/2022 00H,62674
03/14/2022 23H,60637
03/14/2022 22H,62166
03/14/2022 21H,63975
03/14/2022 20H,64393
03/14/2022 19H,64673
03/14/2022 18H,64786
03/14/2022 17H,67016
03/14/2022 16H,67203
03/14/2022 15H,68181
03/14/2022 14H,74615
03/14/2022 13H,78433
03/14/2022 12H,78651
03/14/2022 11H,78195
03/14/2022 10H,78841
03/14/2022 09H,79410
03/14/2022 08H,80172
03/14/2022 07H,80644
03/14/2022 06H,82065
03/14/2022 05H,82345
03/14/2022 04H,80117
03/14/2022 03H,78264
03/14/2022 02H,75879
03/14/2022 01H,73023
03/14/2022 00H,73380
03/13/2022 23H,73338
03/13/2022 22H,72858
03/13/2022 21H,72185
03/13/2022 20H,70306
03/13/2022 19H,68636
03/13/2022 18H,66652
03/13/2022 17H,62617
03/13/2022 16H,59920
03/13/2022 15H,62597
03/13/2022 14H,70302
03/13/2022 13H,73415
03/13/2022 12H,77054
03/13/2022 11H,81256
03/13/2022 10H,82287
03/13/2022 09H,81458
03/13/2022 08H,80603
03/13/2022 07H,79671
03/13/2022 06H,82140
03/13/2022 05H,85077
03/13/2022 04H,82183
03/13/2022 03H,81320
03/13/2022 02H,74330
03/13/2022 01H,67311
03/13/2022 00H,67971
03/12/2022 23H,67551
03/12/2022 22H,67096
03/12/2022 21H,66232
03/12/2022 20H,63496
03/12/2022 19H,59671
03/12/2022 18H,55592
03/12/2022 17H,53773
03/12/2022 16H,52931
03/12/2022 15H,54631
03/12/2022 14H,57364
03/12/2022 13H,54810
03/12/2022 12H,53158
03/12/2022 11H,51280
03/12/2022 10H,49607
03/12/2022 09H,48607
03/12/2022 08H,48062
03/12/2022 07H,48186
03/12/2022 06H,49232
03/12/2022 05H,43620
03/12/2022 04H,51597
03/12/2022 03H,52754
03/12/2022 02H,54043
03/12/2022 01H,58178
03/12/2022 00H,65164
03/11/2022 23H,68927
03/11/2022 22H,70635
03/11/2022 21H,70348
03/11/2022 20H,66544
03/11/2022 19H,62106
03/11/2022 18H,58421
03/11/2022 17H,57636
03/11/2022 16H,57321
03/11/2022 15H,59132
03/11/2022 14H,61877
03/11/2022 13H,63719
03/11/2022 12H,64433
03/11/2022 11H,64579
03/11/2022 10H,64729
03/11/2022 09H,64740
03/11/2022 08H,64324
03/11/2022 07H,62917
03/11/2022 06H,61874
03/11/2022 05H,61710
03/11/2022 04H,58426
03/11/2022 03H,56445
03/11/2022 02H,54756
03/11/2022 01H,50994
03/11/2022 00H,45498
03/10/2022 23H,42185
03/10/2022 22H,37967
03/10/2022 21H,35868
03/10/2022 20H,34937
03/10/2022 19H,35265
03/10/2022 18H,35874
03/10/2022 17H,36965
03/10/2022 16H,38882
03/10/2022 15H,43275
03/10/2022 14H,48528
03/10/2022 13H,48976
03/10/2022 12H,48130
03/10/2022 11H,48677
03/10/2022 10H,48571
03/10/2022 09H,49948
03/10/2022 08H,51566
03/10/2022 07H,52072
03/10/2022 06H,51647
03/10/2022 05H,50986
03/10/2022 04H,54135
03/10/2022 03H,54184
03/10/2022 02H,53434
03/10/2022 01H,52448
03/10/2022 00H,52125
03/9/2022 23H,51836
03/9/2022 22H,50148
03/9/2022 21H,48820
03/9/2022 20H,47265
03/9/2022 19H,44472
03/9/2022 18H,42073
03/9/2022 17H,39554
03/9/2022 16H,38199
03/9/2022 15H,38474
03/9/2022 14H,42505
03/9/2022 13H,43716
03/9/2022 12H,42570
03/9/2022 11H,42536
03/9/2022 10H,41351
03/9/2022 09H,40495
03/9/2022 08H,40027
03/9/2022 07H,39077
03/9/2022 06H,38467
03/9/2022 05H,37427
03/9/2022 04H,32892
03/9/2022 03H,30967
03/9/2022 02H,30547
03/9/2022 01H,29827
03/9/2022 00H,28903
03/8/2022 23H,30859
03/8/2022 22H,31466
03/8/2022 21H,32316
03/8/2022 20H,33459
03/8/2022 19H,33287
03/8/2022 18H,31333
03/8/2022 17H,30019
03/8/2022 16H,31052
03/8/2022 15H,35422
03/8/2022 14H,41512
03/8/2022 13H,43167
03/8/2022 12H,43487
03/8/2022 11H,42838
03/8/2022 10H,42511
03/8/2022 09H,42761
03/8/2022 08H,44050
03/8/2022 07H,44417
03/8/2022 06H,45653
03/8/2022 05H,46537
03/8/2022 04H,42734
03/8/2022 03H,41662
03/8/2022 02H,39472
03/8/2022 01H,38797
03/8/2022 00H,41111
03/7/2022 23H,42776
03/7/2022 22H,45072
03/7/2022 21H,47281
03/7/2022 20H,49441
03/7/2022 19H,52703
03/7/2022 18H,56545
03/7/2022 17H,61531
03/7/2022 16H,65552
03/7/2022 15H,65784
03/7/2022 14H,68490
03/7/2022 13H,68421
03/7/2022 12H,68368
03/7/2022 11H,69307
03/7/2022 10H,69826
03/7/2022 09H,70942
03/7/2022 08H,72210
03/7/2022 07H,71349
03/7/2022 06H,71230
03/7/2022 05H,72351
03/7/2022 04H,68340
03/7/2022 03H,66910
03/7/2022 02H,64054
03/7/2022 01H,63255
03/7/2022 00H,62981
03/6/2022 23H,61229
03/6/2022 22H,59024
03/6/2022 21H,56201
03/6/2022 20H,56364
03/6/2022 19H,58179
03/6/2022 18H,61979
03/6/2022 17H,66911
03/6/2022 16H,72577
03/6/2022 15H,74070
03/6/2022 14H,74478
03/6/2022 13H,75643
03/6/2022 12H,77378
03/6/2022 11H,78230
03/6/2022 10H,78732
03/6/2022 09H,79703
03/6/2022 08H,80815
03/6/2022 07H,80031
03/6/2022 06H,78017
03/6/2022 05H,72124
03/6/2022 04H,72891
03/6/2022 03H,72120
03/6/2022 02H,71531
03/6/2022 01H,73322
03/6/2022 00H,74859
03/5/2022 23H,74328
03/5/2022 22H,74222
03/5/2022 21H,74485
03/5/2022 20H,75724
03/5/2022 19H,75874
03/5/2022 18H,74241
03/5/2022 17H,71125
03/5/2022 16H,68172
03/5/2022 15H,67161
03/5/2022 14H,70869
03/5/2022 13H,71995
03/5/2022 12H,70690
03/5/2022 11H,69967
03/5/2022 10H,70602
03/5/2022 09H,71850
03/5/2022 08H,74103
03/5/2022 07H,75061
03/5/2022 06H,75302
03/5/2022 05H,73016
03/5/2022 04H,79639
03/5/2022 03H,79775
03/5/2022 02H,79052
03/5/2022 01H,77869
03/5/2022 00H,76847
03/4/2022 23H,76343
03/4/2022 22H,75785
03/4/2022 21H,75005
03/4/2022 20H,74401
03/4/2022 19H,72215
03/4/2022 18H,69327
03/4/2022 17H,67319
03/4/2022 16H,65882
03/4/2022 15H,66554
03/4/2022 14H,69577
03/4/2022 13H,69157
03/4/2022 12H,67578
03/4/2022 11H,64559
03/4/2022 10H,63533
03/4/2022 09H,63706
03/4/2022 08H,63211
03/4/2022 07H,61520
03/4/2022 06H,61787
03/4/2022 05H,68633
03/4/2022 04H,64329
03/4/2022 03H,61645
03/4/2022 02H,55270
03/4/2022 01H,48672
03/4/2022 00H,46115
03/3/2022 23H,44692
03/3/2022 22H,41084
03/3/2022 21H,36746
03/3/2022 20H,31878
