Net generation from other for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.OTH.H
17:14:21 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.OTH.H megawatthours
04/6/2022 10H,6748
04/6/2022 09H,6329
04/6/2022 08H,6318
04/6/2022 07H,6397
04/6/2022 06H,6616
04/6/2022 05H,7065
04/6/2022 04H,7781
04/6/2022 03H,7955
04/6/2022 02H,8337
04/6/2022 01H,8300
04/6/2022 00H,7874
04/5/2022 23H,8138
04/5/2022 22H,8100
04/5/2022 21H,7848
04/5/2022 20H,7811
04/5/2022 19H,7804
04/5/2022 18H,7642
04/5/2022 17H,7656
04/5/2022 16H,7867
04/5/2022 15H,8028
04/5/2022 14H,7825
04/5/2022 13H,7523
04/5/2022 12H,7588
04/5/2022 11H,7446
04/5/2022 10H,7276
04/5/2022 09H,6785
04/5/2022 08H,6337
04/5/2022 07H,6454
04/5/2022 06H,6614
04/5/2022 05H,6955
04/5/2022 04H,7256
04/5/2022 03H,7389
04/5/2022 02H,7809
04/5/2022 01H,7388
04/5/2022 00H,6994
04/4/2022 23H,7005
04/4/2022 22H,7053
04/4/2022 21H,6911
04/4/2022 20H,6797
04/4/2022 19H,6578
04/4/2022 18H,7325
04/4/2022 17H,7206
04/4/2022 16H,7102
04/4/2022 15H,7241
04/4/2022 14H,7341
04/4/2022 13H,7413
04/4/2022 12H,8248
04/4/2022 11H,7174
04/4/2022 10H,6472
04/4/2022 09H,6187
04/4/2022 08H,6504
04/4/2022 07H,6716
04/4/2022 06H,6931
04/4/2022 05H,7513
04/4/2022 04H,7772
04/4/2022 03H,8610
04/4/2022 02H,7821
04/4/2022 01H,6905
04/4/2022 00H,6603
04/3/2022 23H,6664
04/3/2022 22H,6549
04/3/2022 21H,6759
04/3/2022 20H,6857
04/3/2022 19H,6854
04/3/2022 18H,6917
04/3/2022 17H,6920
04/3/2022 16H,7137
04/3/2022 15H,7261
04/3/2022 14H,7236
04/3/2022 13H,6833
04/3/2022 12H,6650
04/3/2022 11H,6402
04/3/2022 10H,6316
04/3/2022 09H,6328
04/3/2022 08H,6326
04/3/2022 07H,6509
04/3/2022 06H,6733
04/3/2022 05H,7505
04/3/2022 04H,7797
04/3/2022 03H,8003
04/3/2022 02H,7807
04/3/2022 01H,6932
04/3/2022 00H,6557
04/2/2022 23H,6509
04/2/2022 22H,6612
04/2/2022 21H,6821
04/2/2022 20H,6983
04/2/2022 19H,6912
04/2/2022 18H,6897
04/2/2022 17H,6920
04/2/2022 16H,7186
04/2/2022 15H,7270
04/2/2022 14H,7319
04/2/2022 13H,7497
04/2/2022 12H,7417
04/2/2022 11H,7019
04/2/2022 10H,6879
04/2/2022 09H,6916
04/2/2022 08H,6718
04/2/2022 07H,6801
04/2/2022 06H,7487
04/2/2022 05H,7639
04/2/2022 04H,7950
04/2/2022 03H,7913
04/2/2022 02H,7920
04/2/2022 01H,7932
04/2/2022 00H,7324
04/1/2022 23H,6688
04/1/2022 22H,6835
04/1/2022 21H,6884
04/1/2022 20H,7013
04/1/2022 19H,6958
04/1/2022 18H,7063
04/1/2022 17H,7574
04/1/2022 16H,7082
04/1/2022 15H,7268
04/1/2022 14H,7493
04/1/2022 13H,7210
04/1/2022 12H,6992
04/1/2022 11H,6864
04/1/2022 10H,6755
04/1/2022 09H,6740
04/1/2022 08H,6943
04/1/2022 07H,6904
04/1/2022 06H,6846
04/1/2022 05H,7353
04/1/2022 04H,7863
04/1/2022 03H,8015
04/1/2022 02H,7886
04/1/2022 01H,7474
04/1/2022 00H,6755
03/31/2022 23H,6685
03/31/2022 22H,6663
03/31/2022 21H,6587
03/31/2022 20H,6614
03/31/2022 19H,6950
03/31/2022 18H,7008
03/31/2022 17H,7092
03/31/2022 16H,7150
03/31/2022 15H,7191
03/31/2022 14H,7186
03/31/2022 13H,7260
03/31/2022 12H,7799
03/31/2022 11H,6948
03/31/2022 10H,7471
03/31/2022 09H,6811
03/31/2022 08H,6921
03/31/2022 07H,6977
03/31/2022 06H,7023
03/31/2022 05H,7332
03/31/2022 04H,8106
03/31/2022 03H,7968
03/31/2022 02H,7845
03/31/2022 01H,7451
03/31/2022 00H,6954
03/30/2022 23H,7031
03/30/2022 22H,7183
03/30/2022 21H,7195
03/30/2022 20H,7236
03/30/2022 19H,7727
03/30/2022 18H,7140
03/30/2022 17H,7148
03/30/2022 16H,7408
03/30/2022 15H,7758
03/30/2022 14H,7836
03/30/2022 13H,7513
03/30/2022 12H,7222
03/30/2022 11H,7321
03/30/2022 10H,7151
03/30/2022 09H,6917
03/30/2022 08H,6894
03/30/2022 07H,7103
03/30/2022 06H,7001
03/30/2022 05H,7408
03/30/2022 04H,7840
03/30/2022 03H,7896
03/30/2022 02H,7719
03/30/2022 01H,7454
03/30/2022 00H,7263
03/29/2022 23H,7282
03/29/2022 22H,7383
03/29/2022 21H,7446
03/29/2022 20H,7672
03/29/2022 19H,7586
03/29/2022 18H,7810
03/29/2022 17H,7805
03/29/2022 16H,7901
03/29/2022 15H,8263
03/29/2022 14H,8446
03/29/2022 13H,8407
03/29/2022 12H,8222
03/29/2022 11H,7812
03/29/2022 10H,7466
03/29/2022 09H,6891
03/29/2022 08H,6790
03/29/2022 07H,6823
03/29/2022 06H,6904
03/29/2022 05H,7116
03/29/2022 04H,7271
03/29/2022 03H,7476
03/29/2022 02H,7682
03/29/2022 01H,8162
03/29/2022 00H,8016
03/28/2022 23H,7842
03/28/2022 22H,7918
03/28/2022 21H,7967
03/28/2022 20H,7874
03/28/2022 19H,8012
03/28/2022 18H,8008
03/28/2022 17H,9065
03/28/2022 16H,9084
03/28/2022 15H,9079
03/28/2022 14H,8564
03/28/2022 13H,8354
03/28/2022 12H,8317
03/28/2022 11H,8025
03/28/2022 10H,7628
03/28/2022 09H,6947
03/28/2022 08H,6601
03/28/2022 07H,6860
03/28/2022 06H,7132
03/28/2022 05H,7638
03/28/2022 04H,8125
03/28/2022 03H,8350
03/28/2022 02H,8126
03/28/2022 01H,7334
03/28/2022 00H,6992
03/27/2022 23H,6957
03/27/2022 22H,7143
03/27/2022 21H,7043
03/27/2022 20H,7047
03/27/2022 19H,7010
03/27/2022 18H,6910
03/27/2022 17H,6797
03/27/2022 16H,7157
03/27/2022 15H,7385
03/27/2022 14H,7385
03/27/2022 13H,7537
03/27/2022 12H,7056
03/27/2022 11H,6775
03/27/2022 10H,6572
03/27/2022 09H,6439
03/27/2022 08H,6574
03/27/2022 07H,7299
03/27/2022 06H,7497
03/27/2022 05H,7924
03/27/2022 04H,8427
03/27/2022 03H,8371
03/27/2022 02H,8149
03/27/2022 01H,7735
03/27/2022 00H,7152
03/26/2022 23H,7051
03/26/2022 22H,7192
03/26/2022 21H,6987
03/26/2022 20H,7069
03/26/2022 19H,6974
03/26/2022 18H,6998
03/26/2022 17H,7052
03/26/2022 16H,7316
03/26/2022 15H,7637
03/26/2022 14H,7431
03/26/2022 13H,7483
03/26/2022 12H,7236
03/26/2022 11H,7116
03/26/2022 10H,6920
03/26/2022 09H,6872
03/26/2022 08H,6845
03/26/2022 07H,7029
03/26/2022 06H,7060
03/26/2022 05H,7970
03/26/2022 04H,8394
03/26/2022 03H,8158
03/26/2022 02H,8096
03/26/2022 01H,7896
03/26/2022 00H,7710
03/25/2022 23H,7602
03/25/2022 22H,7992
03/25/2022 21H,7798
03/25/2022 20H,7658
03/25/2022 19H,7635
03/25/2022 18H,7626
03/25/2022 17H,7445
03/25/2022 16H,7620
03/25/2022 15H,7855
03/25/2022 14H,7990
03/25/2022 13H,7989
03/25/2022 12H,7826
03/25/2022 11H,7687
03/25/2022 10H,7488
03/25/2022 09H,7445
03/25/2022 08H,7486
03/25/2022 07H,7749
03/25/2022 06H,7843
03/25/2022 05H,8403
03/25/2022 04H,8650
03/25/2022 03H,8763
03/25/2022 02H,8615
03/25/2022 01H,8230
03/25/2022 00H,8164
03/24/2022 23H,8039
03/24/2022 22H,7965
03/24/2022 21H,7772
03/24/2022 20H,7530
03/24/2022 19H,7526
03/24/2022 18H,7614
03/24/2022 17H,7648
03/24/2022 16H,7900
03/24/2022 15H,8047
