Net generation from coal for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.COL.H
16:49:57 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.COL.H megawatthours
03/25/2022 12H,81745
03/25/2022 11H,79763
03/25/2022 10H,76436
03/25/2022 09H,74710
03/25/2022 08H,77442
03/25/2022 07H,78901
03/25/2022 06H,80778
03/25/2022 05H,82684
03/25/2022 04H,81244
03/25/2022 03H,86679
03/25/2022 02H,88390
03/25/2022 01H,88103
03/25/2022 00H,82487
03/24/2022 23H,78753
03/24/2022 22H,78034
03/24/2022 21H,77072
03/24/2022 20H,76602
03/24/2022 19H,76901
03/24/2022 18H,76766
03/24/2022 17H,81673
03/24/2022 16H,86230
03/24/2022 15H,87064
03/24/2022 14H,85839
03/24/2022 13H,85142
03/24/2022 12H,82480
03/24/2022 11H,79103
03/24/2022 10H,76063
03/24/2022 09H,73788
03/24/2022 08H,74788
03/24/2022 07H,76273
03/24/2022 06H,76541
03/24/2022 05H,77217
03/24/2022 04H,78379
03/24/2022 03H,79344
03/24/2022 02H,78513
03/24/2022 01H,73896
03/24/2022 00H,69150
03/23/2022 23H,68313
03/23/2022 22H,69856
03/23/2022 21H,70668
03/23/2022 20H,71188
03/23/2022 19H,72148
03/23/2022 18H,73325
03/23/2022 17H,75470
03/23/2022 16H,77972
03/23/2022 15H,78376
03/23/2022 14H,79343
03/23/2022 13H,76930
03/23/2022 12H,72603
03/23/2022 11H,66717
03/23/2022 10H,61906
03/23/2022 09H,59662
03/23/2022 08H,58829
03/23/2022 07H,59041
03/23/2022 06H,60817
03/23/2022 05H,64871
03/23/2022 04H,71052
03/23/2022 03H,73700
03/23/2022 02H,75456
03/23/2022 01H,73695
03/23/2022 00H,71473
03/22/2022 23H,69757
03/22/2022 22H,68758
03/22/2022 21H,69007
03/22/2022 20H,69081
03/22/2022 19H,69810
03/22/2022 18H,69766
03/22/2022 17H,71230
03/22/2022 16H,72298
03/22/2022 15H,73712
03/22/2022 14H,75013
03/22/2022 13H,74688
03/22/2022 12H,72685
03/22/2022 11H,68540
03/22/2022 10H,64420
03/22/2022 09H,65089
03/22/2022 08H,66562
03/22/2022 07H,69678
03/22/2022 06H,71594
03/22/2022 05H,73113
03/22/2022 04H,74755
03/22/2022 03H,76144
03/22/2022 02H,76296
03/22/2022 01H,74144
03/22/2022 00H,72302
03/21/2022 23H,70011
03/21/2022 22H,68536
03/21/2022 21H,67905
03/21/2022 20H,69356
03/21/2022 19H,70306
03/21/2022 18H,71250
03/21/2022 17H,71093
03/21/2022 16H,70327
03/21/2022 15H,72746
03/21/2022 14H,73558
03/21/2022 13H,73677
03/21/2022 12H,69967
03/21/2022 11H,65189
03/21/2022 10H,58628
03/21/2022 09H,56013
03/21/2022 08H,55380
03/21/2022 07H,55540
03/21/2022 06H,56972
03/21/2022 05H,58946
03/21/2022 04H,62861
03/21/2022 03H,66876
03/21/2022 02H,69194
03/21/2022 01H,68346
03/21/2022 00H,65781
03/20/2022 23H,62502
03/20/2022 22H,60376
03/20/2022 21H,59263
03/20/2022 20H,59657
03/20/2022 19H,61136
03/20/2022 18H,63770
03/20/2022 17H,66590
03/20/2022 16H,70326
03/20/2022 15H,72182
03/20/2022 14H,73498
03/20/2022 13H,71433
03/20/2022 12H,69179
03/20/2022 11H,65880
03/20/2022 10H,64330
03/20/2022 09H,63535
03/20/2022 08H,63839
03/20/2022 07H,64213
03/20/2022 06H,66112
03/20/2022 05H,71237
03/20/2022 04H,77676
03/20/2022 03H,82810
03/20/2022 02H,85376
03/20/2022 01H,84888
03/20/2022 00H,81923
03/19/2022 23H,77939
03/19/2022 22H,77443
03/19/2022 21H,77718
03/19/2022 20H,78613
03/19/2022 19H,79174
03/19/2022 18H,79488
03/19/2022 17H,79207
03/19/2022 16H,79249
03/19/2022 15H,78001
03/19/2022 14H,76747
03/19/2022 13H,76098
03/19/2022 12H,75389
03/19/2022 11H,74519
03/19/2022 10H,74736
03/19/2022 09H,75030
03/19/2022 08H,75593
03/19/2022 07H,76637
03/19/2022 06H,77413
03/19/2022 05H,78864
03/19/2022 04H,80996
03/19/2022 03H,82437
03/19/2022 02H,82744
03/19/2022 01H,80099
03/19/2022 00H,75848
03/18/2022 23H,72651
03/18/2022 22H,73175
03/18/2022 21H,73448
03/18/2022 20H,73754
03/18/2022 19H,72336
03/18/2022 18H,72789
03/18/2022 17H,72764
03/18/2022 16H,72831
03/18/2022 15H,72919
03/18/2022 14H,75216
03/18/2022 13H,74721
03/18/2022 12H,73177
03/18/2022 11H,70260
03/18/2022 10H,68020
03/18/2022 09H,66269
03/18/2022 08H,66157
03/18/2022 07H,66252
03/18/2022 06H,67918
03/18/2022 05H,71313
03/18/2022 04H,73848
03/18/2022 03H,77495
03/18/2022 02H,80755
03/18/2022 01H,81754
03/18/2022 00H,80614
03/17/2022 23H,79497
03/17/2022 22H,79201
03/17/2022 21H,77088
03/17/2022 20H,76808
03/17/2022 19H,77909
03/17/2022 18H,78138
03/17/2022 17H,79121
03/17/2022 16H,78335
03/17/2022 15H,78724
03/17/2022 14H,77585
03/17/2022 13H,76479
03/17/2022 12H,73125
03/17/2022 11H,67363
03/17/2022 10H,63850
03/17/2022 09H,62239
03/17/2022 08H,62036
03/17/2022 07H,62592
03/17/2022 06H,64708
03/17/2022 05H,67528
03/17/2022 04H,73996
03/17/2022 03H,77676
03/17/2022 02H,83433
03/17/2022 01H,84804
03/17/2022 00H,79090
03/16/2022 23H,74399
03/16/2022 22H,74576
03/16/2022 21H,73785
03/16/2022 20H,72755
03/16/2022 19H,73200
03/16/2022 18H,72828
03/16/2022 17H,73849
03/16/2022 16H,76862
03/16/2022 15H,80013
03/16/2022 14H,81608
03/16/2022 13H,82177
03/16/2022 12H,78851
03/16/2022 11H,74087
03/16/2022 10H,69924
03/16/2022 09H,68160
03/16/2022 08H,68517
03/16/2022 07H,70067
03/16/2022 06H,72430
03/16/2022 05H,76449
03/16/2022 04H,81791
03/16/2022 03H,87936
03/16/2022 02H,91988
03/16/2022 01H,93928
03/16/2022 00H,91938
03/15/2022 23H,88118
03/15/2022 22H,86681
03/15/2022 21H,86793
03/15/2022 20H,86002
03/15/2022 19H,87223
03/15/2022 18H,87183
03/15/2022 17H,88171
03/15/2022 16H,88720
03/15/2022 15H,90190
03/15/2022 14H,92909
03/15/2022 13H,94805
03/15/2022 12H,91463
03/15/2022 11H,86118
03/15/2022 10H,80088
03/15/2022 09H,78404
03/15/2022 08H,77785
03/15/2022 07H,78281
03/15/2022 06H,78175
03/15/2022 05H,79527
03/15/2022 04H,85519
03/15/2022 03H,87901
03/15/2022 02H,90786
03/15/2022 01H,89501
03/15/2022 00H,86231
03/14/2022 23H,82009
03/14/2022 22H,80149
03/14/2022 21H,79463
03/14/2022 20H,80114
03/14/2022 19H,80821
03/14/2022 18H,80874
03/14/2022 17H,82752
03/14/2022 16H,85600
03/14/2022 15H,88560
03/14/2022 14H,91890
03/14/2022 13H,93475
03/14/2022 12H,90902
03/14/2022 11H,86868
03/14/2022 10H,82519
03/14/2022 09H,79579
03/14/2022 08H,78042
03/14/2022 07H,79149
03/14/2022 06H,80111
03/14/2022 05H,83710
03/14/2022 04H,91633
03/14/2022 03H,92895
03/14/2022 02H,93005
03/14/2022 01H,89708
03/14/2022 00H,84605
03/13/2022 23H,80772
03/13/2022 22H,80161
03/13/2022 21H,80747
03/13/2022 20H,83595
03/13/2022 19H,87132
03/13/2022 18H,91677
03/13/2022 17H,96694
03/13/2022 16H,100600
03/13/2022 15H,100584
03/13/2022 14H,100930
03/13/2022 13H,99983
03/13/2022 12H,96100
03/13/2022 11H,90794
03/13/2022 10H,88550
03/13/2022 09H,85659
03/13/2022 08H,88084
03/13/2022 07H,92591
03/13/2022 06H,95683
03/13/2022 05H,93674
03/13/2022 04H,99889
03/13/2022 03H,101220
03/13/2022 02H,103257
03/13/2022 01H,100419
03/13/2022 00H,92764
03/12/2022 23H,86571
03/12/2022 22H,84570
03/12/2022 21H,86287
03/12/2022 20H,90364
03/12/2022 19H,93744
03/12/2022 18H,97607
03/12/2022 17H,101389
03/12/2022 16H,104291
03/12/2022 15H,105557
03/12/2022 14H,105565
03/12/2022 13H,104549
03/12/2022 12H,101824
03/12/2022 11H,98229
03/12/2022 10H,97268
03/12/2022 09H,97501
03/12/2022 08H,97781
03/12/2022 07H,99091
03/12/2022 06H,98742
03/12/2022 05H,100451
03/12/2022 04H,100051
03/12/2022 03H,101038
03/12/2022 02H,100389
03/12/2022 01H,98002
03/12/2022 00H,91305
03/11/2022 23H,87530
03/11/2022 22H,86663
03/11/2022 21H,87717
03/11/2022 20H,91096
03/11/2022 19H,94512
03/11/2022 18H,97441
03/11/2022 17H,99232
03/11/2022 16H,101547
03/11/2022 15H,102965
03/11/2022 14H,101779
03/11/2022 13H,97577
03/11/2022 12H,91973
03/11/2022 11H,86303
03/11/2022 10H,82411
03/11/2022 09H,81802
03/11/2022 08H,82219
03/11/2022 07H,85269
03/11/2022 06H,88293
03/11/2022 05H,92472
03/11/2022 04H,95265
03/11/2022 03H,99335
03/11/2022 02H,100648
03/11/2022 01H,99156
03/11/2022 00H,95774
03/10/2022 23H,92590
03/10/2022 22H,91562
03/10/2022 21H,92026
03/10/2022 20H,93940
03/10/2022 19H,94981
03/10/2022 18H,97649
03/10/2022 17H,99562
03/10/2022 16H,100464
03/10/2022 15H,102734
03/10/2022 14H,102379
03/10/2022 13H,100394
03/10/2022 12H,97552
03/10/2022 11H,93305
03/10/2022 10H,92298
03/10/2022 09H,89181
03/10/2022 08H,88140
03/10/2022 07H,88896
03/10/2022 06H,91017
03/10/2022 05H,94883
03/10/2022 04H,98515
03/10/2022 03H,100221
03/10/2022 02H,101030
03/10/2022 01H,97583
03/10/2022 00H,92930
03/9/2022 23H,89560
03/9/2022 22H,88568
03/9/2022 21H,89636
03/9/2022 20H,91949
03/9/2022 19H,94581
03/9/2022 18H,96742
03/9/2022 17H,98294
03/9/2022 16H,100024
03/9/2022 15H,101370
03/9/2022 14H,100230
03/9/2022 13H,96914
03/9/2022 12H,93264
03/9/2022 11H,89122
03/9/2022 10H,87916
03/9/2022 09H,87571
03/9/2022 08H,88226
03/9/2022 07H,89665
03/9/2022 06H,91167
03/9/2022 05H,94166
03/9/2022 04H,100454
03/9/2022 03H,102284
03/9/2022 02H,102246
03/9/2022 01H,99977
03/9/2022 00H,97583
03/8/2022 23H,96322
03/8/2022 22H,93712
03/8/2022 21H,93103
03/8/2022 20H,93200
03/8/2022 19H,95021
03/8/2022 18H,97677
03/8/2022 17H,98762
03/8/2022 16H,99746
03/8/2022 15H,99945
03/8/2022 14H,99342
03/8/2022 13H,97558
03/8/2022 12H,94333
03/8/2022 11H,90376
03/8/2022 10H,88842
03/8/2022 09H,88120
03/8/2022 08H,88012
03/8/2022 07H,89139
03/8/2022 06H,90722
03/8/2022 05H,89776
03/8/2022 04H,95249
03/8/2022 03H,97044
03/8/2022 02H,98391
03/8/2022 01H,97555
03/8/2022 00H,96205
03/7/2022 23H,95142
03/7/2022 22H,94089
03/7/2022 21H,94455
03/7/2022 20H,95585
03/7/2022 19H,94622
03/7/2022 18H,93665
03/7/2022 17H,92781
03/7/2022 16H,92723
03/7/2022 15H,92682
03/7/2022 14H,90444
03/7/2022 13H,86550
03/7/2022 12H,81309
03/7/2022 11H,76592
03/7/2022 10H,72707
03/7/2022 09H,72165
03/7/2022 08H,72223
03/7/2022 07H,73501
03/7/2022 06H,75717
03/7/2022 05H,79487
03/7/2022 04H,84584
03/7/2022 03H,89476
03/7/2022 02H,92516
03/7/2022 01H,90766
03/7/2022 00H,88580
03/6/2022 23H,86602
03/6/2022 22H,84767
03/6/2022 21H,84351
03/6/2022 20H,82349
03/6/2022 19H,81046
03/6/2022 18H,79006
03/6/2022 17H,77012
03/6/2022 16H,73893
03/6/2022 15H,73141
03/6/2022 14H,70666
03/6/2022 13H,68991
03/6/2022 12H,66785
03/6/2022 11H,64854
03/6/2022 10H,64302
03/6/2022 09H,64200
03/6/2022 08H,64252
03/6/2022 07H,66501
03/6/2022 06H,69371
03/6/2022 05H,75178
03/6/2022 04H,75252
03/6/2022 03H,76357
03/6/2022 02H,78566
03/6/2022 01H,77932
03/6/2022 00H,75795
03/5/2022 23H,74490
03/5/2022 22H,72704
03/5/2022 21H,71552
03/5/2022 20H,73212
03/5/2022 19H,74085
03/5/2022 18H,74762
03/5/2022 17H,75757
03/5/2022 16H,77282
03/5/2022 15H,78177
03/5/2022 14H,76010
03/5/2022 13H,74728
03/5/2022 12H,74229
03/5/2022 11H,73022
03/5/2022 10H,71843
03/5/2022 09H,69970
03/5/2022 08H,70542
03/5/2022 07H,71754
03/5/2022 06H,74997
03/5/2022 05H,80204
03/5/2022 04H,80129
03/5/2022 03H,83371
03/5/2022 02H,86351
03/5/2022 01H,86649
03/5/2022 00H,83981
03/4/2022 23H,81297
03/4/2022 22H,78022
03/4/2022 21H,77373
03/4/2022 20H,77703
